Temps (s),Tension (V),Courant (A),Watt (W)
462,5.15000,1.05125,5.4139375
463,5.15113,1.04015,5.357947869499999
464,5.15162,1.03860,5.350472532
465,5.15150,1.04120,5.3637418
466,5.15112,1.04645,5.390389524000001
467,5.15169,1.03363,5.324941334700001
468,5.15156,1.03607,5.3373767692000005
469,5.15125,1.03837,5.3489034625
470,5.15150,1.03815,5.348029725
471,5.15169,1.03728,5.3437450032000005
472,5.15113,1.04118,5.3632535334
473,5.15137,1.03950,5.354849115
474,5.15125,1.04127,5.363842087499999
475,5.15137,1.03763,5.345216053100001
476,5.15181,1.03965,5.3560792665
477,5.15250,1.03583,5.337114075
478,5.15194,1.03173,5.3154110562
479,5.15069,1.04185,5.3662463764999995
480,5.15069,1.04275,5.370881997500001
481,5.15063,1.04458,5.3802450854
482,5.15769,0.97963,5.0526278547
483,5.16606,0.88725,4.583586735
484,5.16175,0.92466,4.7728637549999995
485,5.15312,1.01752,5.2434026624
486,5.14894,1.06260,5.4712636439999995
487,5.14956,1.05235,5.419139466
488,5.15000,1.05215,5.4185725
489,5.15025,1.05255,5.4208956375
490,5.15125,1.04160,5.3655420000000005
491,5.15113,1.04540,5.384991302
492,5.15083,1.05050,5.410946915
493,5.15125,1.04100,5.3624512499999994
494,5.15063,1.04890,5.402495806999999
495,5.15056,1.04462,5.3803779872
496,5.15069,1.03695,5.3410079955
497,5.15019,1.04463,5.3800429797
498,5.15038,1.04737,5.394353500599999
499,5.15156,1.04315,5.373849814
500,5.15225,1.03500,5.33257875
501,5.15219,1.02883,5.3007276377
502,5.15181,1.03000,5.3063643
503,5.15188,1.03437,5.3289501156000005
504,5.15169,1.03855,5.350287649500001
505,5.15125,1.03830,5.348542875
506,5.15144,1.02978,5.304849883199999
507,5.15194,1.03182,5.315874730799999
508,5.15181,1.03270,5.320274187
509,5.15187,1.02325,5.271650977499999
510,5.15181,1.029243,5.30246437983
511,5.15181,1.04108,5.363446354800001
512,5.15194,1.03603,5.3375643982
513,5.15187,1.03250,5.319305774999999
514,5.15194,1.03377,5.3259210138
515,5.15181,1.03650,5.339851065
516,5.15231,1.03408,5.3279007248
517,5.15213,1.03023,5.3078788899
518,5.15156,1.03363,5.3248069628
519,5.15150,1.03435,5.328454025000001
520,5.15212,1.02578,5.2849416536
521,5.15269,1.01992,5.2553315847999995
522,5.15331,1.01685,5.2401432735
523,5.15350,1.01753,5.243840855
524,5.15225,1.03105,5.312227362500001
525,5.15125,1.04477,5.3818714625
526,5.15187,1.03950,5.355368865
527,5.15310,1.02320,5.27265192
528,5.15263,1.02768,5.2952547984
529,5.15138,1.03695,5.341723491
530,5.15125,1.03728,5.3432886
531,5.15162,1.03388,5.3261568856
532,5.15237,1.02445,5.2783454465
533,5.15287,1.02583,5.2859686321
534,5.15288,1.03000,5.3074664
535,5.15250,1.02807,5.297130675
536,5.15888,0.95813,4.9428776944
537,5.16894,0.86973,4.4955821862
538,5.15850,0.94865,4.893611025
539,5.14963,1.06858,5.5027916254
540,5.15137,1.05455,5.4323772335000005
541,5.15131,1.04552,5.3857976312
542,5.15206,1.02237,5.2673115822
543,5.15250,1.02700,5.291617499999999
544,5.15312,1.02970,5.306167664000001
545,5.15313,1.02730,5.293810449
546,5.15244,1.03355,5.325304362
547,5.15263,1.03215,5.3182870545
548,5.15119,1.04938,5.4055557622
549,5.15100,1.04345,5.37481095
550,5.15212,1.03235,5.318791082000001
551,5.15250,1.03210,5.31789525
552,5.15250,1.03190,5.31686475
553,5.15231,1.03292,5.3219240452
554,5.15187,1.04123,5.3642816001
555,5.15250,1.03780,5.3472645000000005
556,5.15362,1.01798,5.246282087600001
557,5.15225,1.02325,5.2720398125
558,5.15137,1.03393,5.3261559841
559,5.15188,1.03400,5.32704392
560,5.15187,1.03093,5.311217339099999
561,5.15188,1.03070,5.310042716
562,5.15125,1.04228,5.369044850000001
563,5.15225,1.03222,5.318255495
564,5.15250,1.02080,5.259671999999999
565,5.15237,1.02288,5.270256225600001
566,5.15390,1.02097,5.261977283
567,5.15331,1.01963,5.2544694753000005
568,5.15337,1.01860,5.249222681999999
569,5.15337,1.01620,5.2368545939999995
570,5.15154,1.02580,5.284449732
571,5.15094,1.03720,5.342554968
572,5.15125,1.04032,5.3589484
573,5.15163,1.03820,5.348422266
574,5.15337,1.01928,5.2527269736
575,5.15362,1.01543,5.233140356600001
576,5.153,1.02475,5.28053675
577,5.15169,1.03038,5.308198342200001
578,5.15187,1.02595,5.285561026499999
579,5.15263,1.02613,5.2872682219
580,5.15150,1.03775,5.345969125
581,5.15256,1.02763,5.294925232800001
582,5.15389,1.01672,5.2400630408
583,5.15287,1.01845,5.247940451500001
584,5.15250,1.02123,5.261887575
585,5.15312,1.01628,5.237012793600001
586,5.15325,1.01695,5.2405975875
587,5.15169,1.03577,5.3359659513
588,5.15106,1.04137,5.3641593522
589,5.15287,1.02433,5.2782393271
590,5.15337,1.01890,5.2507686929999995
591,5.15169,1.02618,5.2865612442000005
592,5.15063,1.04250,5.369531775
593,5.1520,1.0370,5.342624
594,5.15250,1.02058,5.25853845
595,5.15138,1.02600,5.28531588
596,5.15237,1.01980,5.2543869260000005
597,5.15375,1.01320,5.2217795
598,5.15287,1.02385,5.275765949499999
599,5.1538,1.0215,5.264606700000001
600,5.15275,1.01875,5.249364062500001
601,5.15300,1.02448,5.27914544
602,5.15375,1.02275,5.2709978125
603,5.15550,1.00117,5.161531934999999
604,5.16325,0.91340,4.71611255
605,5.1680,0.8427,4.3550736
606,5.15788,0.94522,4.875331333599999
607,5.15038,1.05862,5.4522952756
608,5.15194,1.03770,5.346168138
609,5.15238,1.03215,5.318029017
610,5.15262,1.03058,5.3101871196
611,5.15250,1.03262,5.32057455
612,5.15187,1.03500,5.332185449999999
613,5.15294,1.01995,5.255741153
614,5.15231,1.02675,5.2901342925
615,5.15134,1.02878,5.299595565200001
616,5.15225,1.02503,5.281210817500001
617,5.15250,1.02853,5.299500825
618,5.15287,1.02495,5.2814341065
619,5.15319,1.02183,5.2656841377
620,5.15287,1.02520,5.282722324
621,5.15250,1.02705,5.291875125
622,5.15250,1.02640,5.288526
623,5.15275,1.02647,5.2891432925
624,5.15362,1.01425,5.2270590850000005
625,5.15300,1.02672,5.29068816
626,5.15375,1.02025,5.2581134375000005
627,5.15456,1.00415,5.175951424000001
628,5.15325,1.01927,5.2525531275
629,5.15375,1.01025,5.2065759375
630,5.15325,1.01095,5.2096780875
631,5.15269,1.01820,5.2464689579999995
632,5.1530,1.02103,5.26136759
633,5.15450,1.00088,5.15903596
634,5.15500,0.99870,5.1482985
635,5.15394,1.01413,5.2267651722
636,5.15281,1.02598,5.286680003799999
637,5.15275,1.01920,5.251682800000001
638,5.15319,1.00985,5.2039489215
639,5.15287,1.01383,5.2241341921
640,5.15269,1.02480,5.280476712
641,5.15325,1.02232,5.26827054
642,5.15375,1.01498,5.230953175
643,5.15437,1.01175,5.214933847499999
644,5.15362,1.01925,5.252827185
645,5.15250,1.02587,5.2857951750000005
646,5.15362,1.01695,5.240973859
647,5.15375,1.02275,5.2709978125
648,5.1526,1.0285,5.2994490999999995
649,5.15337,1.01645,5.2381429365
650,5.15419,1.01088,5.2102675872
